doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.5603/IMH.2019.0026,acute coronary syndrome antarctica,international maritime health,acute coronary syndrome antarctica international maritime health,Medical research
10.1103/PhysRevLett.123.117401,optical phase transition semiconductor quantum metamaterials,physical review letter,optical phase transition semiconductor quantum metamaterials physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevD.100.064064,search intermediate mass black hole binary first second observing run advanced ligo virgo network,physical review,search intermediate mass black hole binary first second observing run advanced ligo virgo network physical review,"Physical sciences, Astronomy"
10.1142/S0217732319503358,effective locality chiral symmetry breaking qcd,modern physic letter,effective locality chiral symmetry breaking qcd modern physic letter,"Physical sciences, Astronomy"
10.1029/2018JE005872,thickness lunar mare basalt new result based modeling degradation partially buried crater,journal geophysical research planet,thickness lunar mare basalt new result based modeling degradation partially buried crater journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.1109/ICTON.2019.8840208,nanoparticles optical waveguide toolbox promote laser amplifier sensor,international conference transparent optical network icton,nanoparticles optical waveguide toolbox promote laser amplifier sensor international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1128/IAI.00556-19,antimalarial activity human group iia secreted phospholipase relation enzymatic hydrolysis oxidized lipoprotein,infection immunity,antimalarial activity human group iia secreted phospholipase relation enzymatic hydrolysis oxidized lipoprotein infection immunity,Biology (fond.)
10.1103/PhysRevFluids.4.093502,thermoelectric convection dielectric liquid inside cylindrical annulus solid body rotation,physical review fluid,thermoelectric convection dielectric liquid inside cylindrical annulus solid body rotation physical review fluid,"Physical sciences, Astronomy"
10.1161/ATVBAHA.119.312537,inhibition chk checkpoint kinase elicits therapeutic effect pulmonary arterial hypertension,arteriosclerosis thrombosis vascular biology,inhibition chk checkpoint kinase elicits therapeutic effect pulmonary arterial hypertension arteriosclerosis thrombosis vascular biology,Medical research
10.1109/COMPSAC.2019.00127,genesis continuous orchestration deployment smart iot system,ieee annual computer software application conference compsac,genesis continuous orchestration deployment smart iot system ieee annual computer software application conference compsac,Computer and information sciences
10.1109/TNSRE.2019.2936411,unsupervised common spatial pattern,ieee transaction neural system rehabilitation engineering,unsupervised common spatial pattern ieee transaction neural system rehabilitation engineering,Computer and information sciences
10.1103/PhysRevA.100.033833,robustness dicke subradiance thermal decoherence,physical review,robustness dicke subradiance thermal decoherence physical review,"Physical sciences, Astronomy"
10.7554/eLife.45465,extraocular rod like photoreceptors flatworm express xenopsin photopigment,elife,extraocular rod like photoreceptors flatworm express xenopsin photopigment elife,Biology (fond.)
10.1103/PhysRevB.100.165114,dominant charge density wave correlation holstein model half filled square lattice,physical review,dominant charge density wave correlation holstein model half filled square lattice physical review,"Physical sciences, Astronomy"
10.1103/PhysRevD.100.061101,search isotropic stochastic background using data advanced ligo second observing run,physical review,search isotropic stochastic background using data advanced ligo second observing run physical review,"Physical sciences, Astronomy"
10.1364/OE.27.030360,anisotropic nonlinear refractive index measurement photorefractive crystal via spatial self phase modulation,optic express,anisotropic nonlinear refractive index measurement photorefractive crystal via spatial self phase modulation optic express,"Physical sciences, Astronomy"
10.1103/PhysRevC.100.034004,embedding nuclear physic inside unitary limit window,physical review,embedding nuclear physic inside unitary limit window physical review,"Physical sciences, Astronomy"
10.1103/PhysRevD.100.062001,directional limit persistent gravitational wave using data advanced ligo first two observing run,physical review,directional limit persistent gravitational wave using data advanced ligo first two observing run physical review,"Physical sciences, Astronomy"
10.1177/0271678X19873662,urinary ketone body loss lead degeneration brain white matter elderly slca deficient mouse,journal cerebral blood flow metabolism,urinary ketone body loss lead degeneration brain white matter elderly slca deficient mouse journal cerebral blood flow metabolism,Medical research
10.1029/2019JB017500,influence grain boundary structural evolution pressure solution creep rate,journal geophysical research solid earth,influence grain boundary structural evolution pressure solution creep rate journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
